Team_ID,Packet_Count,Mission_Time,Container_Alt_m,Payload_Alt_m,Pressure_hPa,Temp_C,Voltage_V,Descent_Rate_ms,GPS_Lat,GPS_Lng,GPS_Sats,Pitch_deg,Roll_deg,Yaw_deg,Error_Code,Flight_State
ISL-CANSAT-1024,1,17:20:01,0.0,0.0,1013.2,24.5,8.40,0.0,28.613900,77.209000,9,0.0,0.0,0.0,0000,PRE_LAUNCH
ISL-CANSAT-1024,2,17:20:02,0.0,0.0,1013.2,24.5,8.40,0.0,28.613900,77.209000,9,0.0,0.0,0.0,0000,PRE_LAUNCH
ISL-CANSAT-1024,3,17:20:03,35.0,35.0,1009.0,24.3,8.39,-35.0,28.613950,77.209020,9,85.0,2.0,10.0,0000,ASCENT
ISL-CANSAT-1024,4,17:20:04,70.0,70.0,1004.8,24.0,8.39,-35.0,28.614000,77.209050,9,86.0,3.0,12.0,0000,ASCENT
ISL-CANSAT-1024,5,17:20:05,700.0,698.0,932.1,19.9,8.37,0.0,28.614800,77.209500,9,10.0,25.0,45.0,0000,SEPARATION
ISL-CANSAT-1024,6,17:20:06,691.2,689.5,933.1,20.0,8.36,8.8,28.614880,77.209550,9,-5.0,12.0,50.0,0000,DESCENT
ISL-CANSAT-1024,7,17:20:07,682.4,680.7,934.1,20.1,8.36,8.8,28.614960,77.209600,9,8.0,-15.0,55.0,0000,DESCENT
ISL-CANSAT-1024,8,17:20:08,673.6,671.9,935.1,20.1,8.35,8.8,28.615040,77.209650,9,-2.0,8.0,60.0,0000,DESCENT
ISL-CANSAT-1024,9,17:20:09,664.8,663.1,936.1,20.2,8.35,16.5,28.615120,77.209700,9,15.0,30.0,65.0,1000,DESCENT
ISL-CANSAT-1024,10,17:20:10,656.0,654.3,937.1,20.2,8.34,8.8,0.000000,0.000000,2,-4.0,-10.0,70.0,0100,DESCENT
